"Date","Time","screen_name","text","hashtags"
"2016-07-08 ","22:51:49","repdonyoung","With a heavy heart, I mourn the 5 brave officers who were so tragically killed in the line of duty. AK stands w/ TX https://t.co/bHYhbay2Cf",
"2016-07-08 ","22:43:41","repdonyoung","Admin's Arctic rule diminishes opportunity, &amp; creates insurmountable hurdles for future development. Read my thoughts @http://bit.ly/29vfVnm",
"2016-07-08 ","19:50:57","repdonyoung","Happy 90th Birthday to my dear friend from the Great Lake State @JohnDingell https://t.co/hdNodwcq8D",
"2016-07-08 ","19:32:22","repdonyoung","My bill would authorize a small, but important addition to 2nd Division Memorial in D.C. //bit.ly/29HndFx https://t.co/K96q99owsV",
"2016-02-26 ","14:41:24","repdonyoung","On House floor defending key AK interests, fighting back against amendment to designate ANWR's 10-02 as wilderness.
https://t.co/39ghSSySg6",
"2016-02-26 ","02:29:25","repdonyoung","#AirForce announcement on F-35 beddown at EielsonAFB, my thoughts&gt;&gt;
https://t.co/AO9cHVnyZB https://t.co/hZVJVT5QuZ","AirForce"
"2016-02-26 ","02:14:00","repdonyoung","Fed gov’s broken forestry management system needs drastic improvements. See my legislation to address these failures:https://t.co/wASGQGXBdp",
"2016-02-25 ","19:31:48","repdonyoung","LIVE: Legislative hearing on bill I introduced – H.R. 3650, State National Forest Management Act of 2015. Watch here:https://t.co/i9WhYQMelv",
"2016-02-25 ","00:19:23","repdonyoung",".@ADN piece fails 2 mention @LCVoters score polices that harm AK economy &amp; people. Here's context they didn't give https://t.co/vhPMyydIoV",
"2015-07-16 ","22:25:12","repdonyoung","Saddened &amp; sickened by tragic #ChattanoogaShooting. My deepest condolences to families of the 4 U.S. Marines killed in this repulsive attack","ChattanoogaShooting"
"2015-07-16 ","21:58:15","repdonyoung","Wishing my friend &amp; former colleague President George H.W. Bush all the best in recovery #TBT http://t.co/lctKf4ljwv","TBT"
"2015-07-16 ","00:27:15","repdonyoung","Reminding Arctic Symposium participants how important it is to remember the residents of the Arctic #thisisouralaska
https://t.co/v9ZkghxiZN","thisisouralaska"
"2015-06-18 ","20:18:22","repdonyoung","Today, I  voted to repeal one of the many egregious parts of the #Obamacare - the medical device tax http://t.co/6usubY9xYR","Obamacare"
"2015-06-17 ","23:21:25","repdonyoung","Today I asked the Admin: Is there any good reason 2 deny the aboriginal land claims of these 5 native communities? 
http://t.co/r9sL8lpw9d",
"2015-06-17 ","15:23:18","repdonyoung","Watch Live, Subcommittee on Indian, Insular &amp; AK Native Affairs http://t.co/oIlibwxXlx",
"2015-06-12 ","22:20:07","repdonyoung","Anne &amp; I wanted to share a special thank you for all the well wishes &amp; congratulations this week! #blessedandhumble http://t.co/1aOoqubPmJ","blessedandhumble"
"2015-06-12 ","20:08:47","repdonyoung","Read my statement to why I voted against Trade Promotion Authority http://t.co/VwH3iD0Nh0 http://t.co/7o5WM9m1gs",
"2015-06-11 ","23:21:07","repdonyoung","@NatResources “These veterans deserve that land, that’s the whole intent of this bill"" 
https://t.co/5HWpMtQk6R http://t.co/X6X3DSbLtd",
"2014-02-21 ","21:30:47","repdonyoung","Mat-Su Career &amp; Tech teaches  skills in a wide range of careers.  Honored to visit this week.http://t.co/VT2npgTXXC http://t.co/9eZHKl3VYf",
"2013-09-16 ","18:26:02","repdonyoung","My heartfelt condolences to the victims of the #NavyYardShooting. Please keep the victims and their families in your prayers.","NavyYardShooting"
"2013-06-07 ","19:42:52","repdonyoung","Read my entire statement on @john_dingell historic accomplishment here http://t.co/fg5qW46RXL #DeanofCongress","DeanofCongress"
"2013-06-07 ","19:39:40","repdonyoung","Congrats to @john_dingell on his milestone today! We can all learn from him that compromise is an honorable word http://t.co/yAkCjnRXhI",
"2013-03-13 ","14:44:57","repdonyoung","I wish to congratulate Mitch Seavey, lead dog Tanner and the rest of the team on their historic Iditarod victory.  #Iditarod #AK","Iditarod AK"
"2012-08-06 ","22:55:09","repdonyoung","Had a great meeting today with the 168th Air Refueling Wing at Eielson Air Force Base http://t.co/KJJJ0h6M",
"2012-07-20 ","20:14:01","repdonyoung","ICYMI: Editorial: Note to Politico: Fairbanks isn’t ‘nowhere’: http://t.co/SGIFMf8Q via @AlaskaJournal #alaskarailroad #ak","alaskarailroad ak"
"2012-02-21 ","18:52:56","repdonyoung","Had a good time addressing the Alaska Air Carriers  in Fairbanks this morning, picture: http://t.co/av20WYdG #alaska #ak","alaska ak"
"2011-10-13 ","22:15:19","repdonyoung","Mr. and Mrs. America are paying the price for Washington’s #regulation addiction, my bill changes this: http://t.co/Ua9DtpIz #alaska","regulation alaska"
"2011-10-12 ","21:29:43","repdonyoung","I have introduced a bill that would allow #hunters to be eligible for tax credits if they donate wild game: http://t.co/Ya5umgxV  #alaska","hunters alaska"
"2011-10-12 ","17:55:02","repdonyoung","I had a great time meeting with members of Teens Acting Against Violence (TAAC) today. Photo: http://t.co/mlsrWQrZ  #alaska","alaska"
"2010-08-04 ","22:49:56","repdonyoung","A Statement From The Office Of Congressman Young http://fb.me/DRBP06lK",
"2010-08-04 ","22:44:26","repdonyoung","http://donyoung.house.gov/News/DocumentSingle.aspx?DocumentID=202175 http://fb.me/tfUYaZMd",
"2010-08-04 ","22:42:17","repdonyoung","http://donyoung.house.gov/News/DocumentSingle.aspx?DocumentID=202175 http://fb.me/EtpzhBwb",
"2010-08-04 ","22:39:05","repdonyoung","A Statement From The Office Of Congressman Young http://fb.me/AzqvPngf",
"2010-08-04 ","20:40:42","repdonyoung","I posted 3 photos on Facebook in the album ""Kenai Senior Center"" http://fb.me/uJiueojg",
"2009-11-06 ","22:36:49","repdonyoung","Health Care Takeover Gets Closer To Vote…Be Afraid, Be Very Afraid
 http://bit.ly/3cChgQ",
"2009-11-06 ","21:42:01","repdonyoung","Delegation Announces Grants and Contracts to Alaska Programs http://bit.ly/LQ6wN",
"2009-11-06 ","20:31:27","repdonyoung","In case you missed it...http://www.adn.com/house/story/1001475.html",
"2009-11-06 ","18:38:43","repdonyoung","Commends Alaska State Chamber on Transportation Access Positions http://bit.ly/2UVm0J",
"2009-11-05 ","21:53:13","repdonyoung","Rep. Young Comments On Republican Health Care Alternative http://bit.ly/3tFju9",
"2016-02-25 ","19:00:45","salmoncongress","Please read my op-ed ""Why I'm leaving Congress"" https://t.co/NHe8SZhSbE",
"2015-12-03 ","23:48:09","salmoncongress","I offer my thoughts, prayers and well wishes to the families of the victims of yesterday's San Bernardino shooting.",
"2015-10-02 ","04:21:32","salmoncongress","Sending my thoughts and prayers to the families of the victims who lost their lives in the #UCCShooting.","UCCShooting"
"2015-10-01 ","00:12:49","salmoncongress","The fight against Planned Parenthood is not over and I will continue working to tackle this issue.",
"2015-10-01 ","00:11:41","salmoncongress","Today, I voted against a continuing resolution that continues federal funding for Planned Parenthood, but unfortunately the House caved.",
"2015-07-17 ","19:02:31","salmoncongress","Also I want to wish the three others who were wounded in the Chattanooga shooting a safe and speedy recovery.",
"2015-07-17 ","19:02:08","salmoncongress","My thoughts and prayers go out to the families of the four Marines who tragically lost their lives in the Chattanooga shooting yesterday.",
"2015-06-18 ","15:30:34","salmoncongress","My thoughts and prayers go out to the families of the victims who lost their lives in the tragic Charleston church shooting.",
"2015-06-12 ","15:40:42","salmoncongress","Happy Birthday to our 41st President, George H. W. Bush. Today he is celebrating his 91st birthday! http://t.co/TrQl92jLCq",
"2014-10-24 ","03:31:14","salmoncongress","PACKED house at Mesa rally for @DougDucey w/ @MittRomney. They both know a thing or 2 about creating jobs. http://t.co/siciFDy7nr",
"2014-05-23 ","22:31:41","salmoncongress","Great kick-off celebrating Memorial Day honoring over 150 veterans at my ""2nd Salmon Salute to Veterans"". http://t.co/JfB5edPhLe",
"2014-04-04 ","17:02:00","salmoncongress","ICYMI…@obrienc2 with @townhallcom put together a column on Wednesday titled “Have You Met...Rep. Matt Salmon?” http://t.co/dwZK7yaOX6",
"2014-04-03 ","01:18:04","salmoncongress","We mourn the loss of the victims of another shooting at Fort Hood. May God comfort their families and heal those injured. #PrayForFortHood","PrayForFortHood"
