"Date","Time","screen_name","text","hashtags"
"2014-10-25 ","01:09:57","neilabercrombie","Governor Requests Presidential Disaster Declaration For Kilauea Lava Flow http://t.co/1LGTiY07HO #higov","higov"
"2014-10-24 ","23:19:14","neilabercrombie","Proclaimed today Aha Punana Leo day and the kids surprised us with a song http://t.co/wPualKh2sl",
"2014-05-24 ","01:52:38","neilabercrombie","Flags to Fly at Half-Staff Until Noon on Memorial Day http://t.co/9GeX2nqiYd #HIGov #HINews","HIGov HINews"
"2014-05-23 ","21:52:42","neilabercrombie","Governor Signs Bill to Raise the State’s Minimum Wage http://t.co/UiK476mdvf #HIGov #HINews #RaiseTheWage","HIGov HINews RaiseTheWage"
"2014-05-23 ","20:30:09","neilabercrombie","The minimum wage bill is now law in #Hawaii. #raisethewage #higov #1010means http://t.co/XPcScYYbji","Hawaii raisethewage higov 1010means"
"2014-05-23 ","20:24:32","neilabercrombie","""People said to take the bird in the hand, but there was still time to get the one in the bush"" - Sen. Hee #raisethewage","raisethewage"
"2014-05-23 ","20:22:41","neilabercrombie","""I said last session that it was a shame we couldn't get a minimum wage bill passed. We did better this year."" - Sen. Hee #raisethewage","raisethewage"
"2014-05-23 ","20:19:07","neilabercrombie","""This will increase social harmony"" #raisethewage #higov","raisethewage higov"
"2014-05-23 ","20:16:59","neilabercrombie","""This is an occasion that represents the best part of representative government."" #higov #raisethewage","higov raisethewage"
"2014-05-23 ","20:16:08","neilabercrombie","""I'm going to be signing this bill today in memory of Dave Thompson."" #higov #raisethewage","higov raisethewage"
"2014-05-23 ","20:11:11","neilabercrombie","We're underway on the minimum wage bill signing. #raisethewage #higov (Broadcasting live at http://t.co/PnN96r4wKp)","raisethewage higov"
"2014-05-23 ","19:30:03","neilabercrombie","30 mins away from the signing of SB2609, raising the state’s minimum wage. Watch live http://t.co/XCtxiDNqAU #RaiseTheWage #HIGov #HINews","RaiseTheWage HIGov HINews"
"2014-05-23 ","18:00:05","neilabercrombie","Watch live at 10 am today as Governor signs SB2609 raising the state’s minimum wage http://t.co/XCtxiDNqAU #RaiseTheWage #HIGov #HINews","RaiseTheWage HIGov HINews"
"2014-05-23 ","06:00:01","neilabercrombie","Watch live at 10 am tomorrow as Governor signs SB2609 raising the state’s minimum wage http://t.co/XCtxiDNqAU #RaiseTheWage #HIGov #HINews","RaiseTheWage HIGov HINews"
"2014-05-23 ","02:27:13","neilabercrombie","Gov releases $46 mil for capital improvement projects that will energize growing construction industry http://t.co/PfDS2E9N9I #HIGov #HINews","HIGov HINews"
"2014-05-23 ","01:53:09","neilabercrombie","@THOTCHEETOS mahalo",
"2014-05-23 ","01:45:43","neilabercrombie","@BlakeHarvey great seeing you at the #WEfficiency launch. What a groundbreaking program.","WEfficiency"
"2014-05-23 ","01:44:03","neilabercrombie","Proud to be a part of today's @BluePlanetFound #WEfficiency launch http://t.co/u5T9YETnKH","WEfficiency"
"2014-05-23 ","01:23:52","neilabercrombie","Prekindergarten Classrooms Available at 18 Public Schools This Fall http://t.co/IrARUtHBZa #HIGov #Education #HINews","HIGov Education HINews"
"2014-04-04 ","21:52:01","neilabercrombie","Join us at 6:01 p.m. and a ring a bell in memory of Dr. Martin Luther King Jr. #MLK http://t.co/unk2Fkx0xC","MLK"
"2014-04-04 ","18:57:12","neilabercrombie","@benjmurf http://t.co/XiAzJ0d7Pw is a great resource for planning your visit.",
"2014-04-04 ","18:49:32","neilabercrombie","Perfect for #FF RT @ehawaiigov: Check out our new &amp; improved social page. Connect to help shape a better HI http://t.co/wN5TCJnoMb","FF"
"2014-04-04 ","01:21:38","neilabercrombie","[NEWS] Governor Invites Hawaii to Join in Remembrance of Dr. Martin Luther King, Jr. http://t.co/csSeK8UZE7 #higov","higov"
"2014-04-04 ","01:15:18","neilabercrombie","RT @usedgov: Aloha! @arneduncan visits his 50th state as Secretary. Read about his trip to HI: http://t.co/5lJqvP2VyQ #ArneAcrossAmerica","ArneAcrossAmerica"
"2014-04-03 ","20:10:34","neilabercrombie","Last night we lit the Capitol blue for World Autism Awareness Day #governors4liub #LIUB http://t.co/5zJ7KjCrx6","governors4liub LIUB"
"2014-02-21 ","03:55:10","neilabercrombie","[NEWS] Governor Announces UH Board of Regents Nominations http://t.co/Lzd3ShMGi3 @UHawaiiNews",
"2013-09-17 ","22:34:24","neilabercrombie","Gov, local business, nonprofit, and UH Manoa, gathered to launch Hawaii Language Roadmap last night http://t.co/nxXpntPeHl",
"2013-09-17 ","20:35:29","neilabercrombie","""We are going to close the gap between uninsured people"" #aca #hihealth (Broadcasting live at http://t.co/PnN96qMnwh)","aca hihealth"
"2013-09-17 ","20:32:27","neilabercrombie","""There will be more choices for businesses and individuals"" (Broadcasting live at http://t.co/PnN96qMnwh)",
"2013-09-17 ","19:57:13","neilabercrombie","Hawaii Health Connector joint news conference  (Broadcasting live at http://t.co/PnN96qMnwh)",
"2013-09-17 ","19:30:16","neilabercrombie","Joint news conference to launch Hawaii Health Connector begins in 30 mins. Watch live http://t.co/52MA839ShD #hihealth #aca","hihealth aca"
"2013-09-17 ","18:29:09","neilabercrombie","Watch the joint news conference to launch Hawaii Health Connector live at 10 a.m. today. http://t.co/52MA839ShD #hihealth #aca","hihealth aca"
"2013-09-17 ","02:21:41","neilabercrombie","Photos and Video from today's Child Passenger Safety Week Proclamation Ceremony and News Conference http://t.co/BNGUGvXbM4",
"2013-09-17 ","00:59:41","neilabercrombie","[NEWS] Flags Flying at Half-Staff Following the Tragedy at Washington Navy Yard http://t.co/CDzlax8rtk",
"2013-09-16 ","23:55:10","neilabercrombie","Child Passenger Safety Week Proclamation Ceremony and News Conference (Broadcasting live at http://t.co/PnN96qMnwh)",
"2013-09-16 ","23:40:30","neilabercrombie",".@DOTHawaii kicks off Child Passenger Safety Week w/ proclamation and news conference. Watch live in 20 mins http://t.co/52MA839ShD",
"2013-09-16 ","21:51:53","neilabercrombie","Photo: nbcnightlynews: Flags lowered to half-staff at the U.S. Capitol in honor of the victims of the Navy... http://t.co/Z22fQ0yL4t",
"2013-09-16 ","21:38:49","neilabercrombie","Governor Abercrombie reflected on Patsy Mink and Title IX at the @HawaiiAthletics Gender Equity Workshop. http://t.co/qF02SJ6Xc6",
"2013-09-16 ","20:34:15","neilabercrombie","""Life changed totally in 1972 because of Patsy Mink."" - Governor speaks to @HawaiiAthletics at the Gender Equity Workshop",
"2013-09-16 ","19:29:00","neilabercrombie","Our thoughts are with those in Washington D.C. and everyone affected by today's tragedy",
"2013-09-16 ","19:04:11","neilabercrombie",".@DOTHawaii kicks off Child Passenger Safety Week w/ today's proclamation and news conference. Watch live at 2 p.m. http://t.co/MCMpj8t19p",
"2013-09-16 ","02:17:02","neilabercrombie","Yesterday Governor welcomed @projkealahou to Washington Place and the State Capitol http://t.co/m3a9yYhqZl",
"2013-09-16 ","00:07:20","neilabercrombie","@Tia_PK @cbreezy808 @projkealahou it was a pleasure for us.",
"2013-07-27 ","05:40:53","neilabercrombie","Governor proclaims Convoy of Hope Day in Hawaii and helps rally the volunteers https://t.co/T4nYGe1Juu",
"2013-07-27 ","00:47:52","neilabercrombie","[NEWS] Governor Honors Shimeji Kanazawa as Lifetime Honorary Kupuna http://t.co/Ju4oscfowu",
"2013-07-26 ","21:10:28","neilabercrombie","Why Hawaii Just Became An Even Better Market For Solar http://t.co/lA2z1xxBYt (via @Forbes and @JustinGerdes) #green #solar","green solar"
"2013-07-26 ","19:43:49","neilabercrombie","@couragehawaii not only was it a pleasure to sign. It is an imperative piece of legislation and a first step towards #EndingTrafficing","EndingTrafficing"
"2013-07-26 ","18:32:16","neilabercrombie","Here's a list of Hawaii State Departments for #FF http://t.co/jiVK7bFf4C","FF"
"2013-07-26 ","01:01:09","neilabercrombie","[NEWS] Governor Signs Statewide Ocean Resources Management Plan for Effective Cross-Agency Resource Management http://t.co/gRpQ6MJt4Z",
"2013-06-08 ","22:23:25","neilabercrombie","Last night Governor Abercrombie handed diplomas to 29 KCAA Atherton preschool students http://t.co/zHoq0HdSqs #EarlyLearning","EarlyLearning"
"2013-06-08 ","02:27:01","neilabercrombie","Photos from today's signing of SB856 http://t.co/eyEWr045MZ #BillSigning #CivilLiberties #HIGov","BillSigning CivilLiberties HIGov"
"2013-06-08 ","02:07:08","neilabercrombie","Bill Signing SB856 (Civil Liberties &amp; the Constitution D: http://t.co/FqzNRj5HiA via @YouTube",
"2013-06-08 ","00:06:05","neilabercrombie","[NEWS] Governor Signs Bill Establishing Civil Liberties and the Constitution Day http://t.co/9E4Qcp5cpH",
"2013-06-07 ","23:01:19","neilabercrombie","Watch the signing of SB856, which established Civil Liberties and the Constitution Day live now http://t.co/pgjMDWvmGy #HIGov","HIGov"
"2013-06-07 ","22:45:20","neilabercrombie","Watch the signing of SB856, which established Civil Liberties and the Constitution Day live in 15 mins http://t.co/InaWsX05X1 #HIGov","HIGov"
