"Date","Time","screen_name","text","hashtags"
"2016-09-24 ","17:01:28","SenatorLankford",".@NMAAHC is a great milestone. I applaud @jcwatts @repjohnlewis, @govsambrownback &amp; many others for making this happen. #APeoplesJourney","APeoplesJourney"
"2016-09-23 ","23:33:45","SenatorLankford","Paying ransom sends the wrong message to the world. I'm glad the House passed @RepEdRoyce's bill to ban cash ransom payments to #Iran","Iran"
"2016-09-23 ","00:31:32","SenatorLankford","Another day, another bad revelation re: #Iran -- Pres. Obama Kept Military Out of the Loop on Cash #IranPayments https://t.co/pLnu1esqUf","Iran IranPayments"
"2016-07-17 ","20:08:31","SenatorLankford","I'm thankful for police all across #Oklahoma &amp; America that remain committed to go to work &amp; keep us safe, even as police are targeted.","Oklahoma"
"2016-07-17 ","20:05:37","SenatorLankford","Today's cowardly murder of #BatonRouge police is another senseless national tragedy. We all mourn their loss. Attacks on police must end.","BatonRouge"
"2016-07-08 ","22:15:44","SenatorLankford","Today, I was grateful to meet with the Guthrie #Police Dept to thank them &amp; all law enforcement. #PrayForDallas https://t.co/z8imzyHwtn","Police PrayForDallas"
"2016-07-08 ","12:22:31","SenatorLankford","I grieve the horrific ambush #DallasPoliceShooting. I pray for the victims, their families &amp; #Dallas. I also pray for national unity &amp; peace","DallasPoliceShooting Dallas"
"2016-07-07 ","23:13:14","SenatorLankford","Today, I asked Sec. Kerry to suspend security clearances of Clinton &amp; her aides. Now, State is reopening the case https://t.co/98YpYoo6nZ",
"2016-07-07 ","21:28:36","SenatorLankford","The rules shouldn't be different just because her name is Hillary Clinton, &amp; not Hillary Jones, Smith, or Thompson. https://t.co/ihLwl4vpQe",
"2016-07-07 ","19:30:22","SenatorLankford",".@OklahomaFosters met their goal of 1,000 new #fostercare families! Keep up the great work for our Oklahoma kids. https://t.co/1MXKUSVrmr","fostercare"
"2016-07-07 ","14:30:40","SenatorLankford","Inexcusable → Sec. Clinton put national security at risk w/ her private server. Her security clearance should be suspended immediately.",
"2016-07-07 ","13:48:55","SenatorLankford","Very proud to join @marcorubio &amp; request that @StateDept immediately suspend security clearance of Sec. Clinton https://t.co/zFr6rEVXV4",
"2016-06-12 ","19:49:27","SenatorLankford","My statement on the Orlando shooting: https://t.co/GNOLK0Cjui",
"2016-06-12 ","13:55:07","SenatorLankford","The massacre shooting in Orlando is a horrific tragedy. I pray for the victims, their families &amp; community, who must be terribly shaken.",
"2016-02-25 ","22:02:22","SenatorLankford","Academics &amp; legal experts agree--Dept. of Ed use of ""guidance"" is clear example of executive overreach. https://t.co/TiIA4XvOGe",
"2016-02-25 ","18:06:43","SenatorLankford","Questioned AG Lynch on #Gitmo &amp; @TheJusticeDept budget requests this morning. Watch here: https://t.co/TWfd4KudZ1","Gitmo"
"2016-02-25 ","18:05:15","SenatorLankford","Even AG Lynch admits it's illegal to transfer terrorists from #Gitmo to the US. The law that prohibits it was signed by POTUS last year.","Gitmo"
"2016-02-25 ","14:56:18","SenatorLankford","Discussed Dept. of Education, #Iran, and #SCOTUS vacancy on @NEWSRADIOKTOK this morning. Check it out: https://t.co/WcrUKq7ooZ","Iran SCOTUS"
"2015-12-03 ","17:52:30","SenatorLankford","Take it from @jimmyfallon. This way the gov't is spending money is ridiculous. #FederalFumbles https://t.co/6Gdpg7ge5Y","FederalFumbles"
"2015-12-02 ","21:02:36","SenatorLankford","We can't have enough government oversight. To your Wastebook I'm looking forward. @JeffFlake #TheFarceAwakens https://t.co/LExnor1jYw","TheFarceAwakens"
"2015-12-02 ","19:48:46","SenatorLankford","Have you seen what the major government watch and taxpayer protection groups are saying about #FederalFumbles? https://t.co/U6S6zOTUBd","FederalFumbles"
"2015-12-02 ","17:06:56","SenatorLankford","Spoke on the floor about #PlannedParenthood funding, #Obamacare, and my amendment for the #HealthCareCompact. WATCH: https://t.co/kwSqdZQaUI","PlannedParenthood Obamacare HealthCareCompact"
"2015-12-02 ","17:02:21","SenatorLankford","The Affordable Care Act has proven to be neither affordable, nor caring for many people in my state. #Obamacare is full of #brokenpromises.","Obamacare brokenpromises"
"2015-12-02 ","00:41:54","SenatorLankford","ABC News “World News Tonight” reports on #FederalFumbles. WATCH: https://t.co/zd7iXFYTHx via @ABC @marykbruce","FederalFumbles"
"2015-12-02 ","00:14:44","SenatorLankford","My floor speech about the federal debt, gov't waste &amp; my #FederalFumbles report. WATCH: https://t.co/ZhwOc111Ex","FederalFumbles"
"2015-12-02 ","00:10:19","SenatorLankford","""Fed Fumbles Add Up to Ridiculous Waste"" via @CBNNews @PaulStrandCBN https://t.co/e4K7EuD3Qs #FederalFumbles","FederalFumbles"
"2015-11-28 ","13:34:17","SenatorLankford","It's another great football Saturday in #Oklahoma. #Big12 title will be decided in-state! #Bedlam #gopokes #boomer #CollegeGameday #OUvsOKST","Oklahoma Big12 Bedlam gopokes boomer CollegeGameday OUvsOKST"
