"Date","Time","screen_name","text","hashtags"
"2016-09-23 ","17:18:03","JimInhofe","Thank an #OKNG soldier today for his or her service. #OklahomaProud #CitizenSoldier https://t.co/xVc36PcaEa","OKNG OklahomaProud CitizenSoldier"
"2016-07-08 ","19:11:49","JimInhofe","An important-read in WashPo: Acts of heroism during a deadly night in Dallas: https://t.co/HzHE3nHBKe",
"2016-07-08 ","14:38:00","JimInhofe","PD upheld their pledge to protect &amp; serve, shielding peaceful protestors. These are the powerful images to remember: https://t.co/2FMrLAscNd",
"2016-07-08 ","14:33:58","JimInhofe","My statement on the unspeakable violence in Dallas last night: https://t.co/0Wa2HSMEZD",
"2016-06-12 ","17:31:26","JimInhofe","My prayers are w/all those impacted by this senseless act of terror in Orlando. Thank you to brave 1st responders who saved lives.",
"2015-10-02 ","15:44:43","JimInhofe","I always enjoy my time talking to hosts of KRMG. The NAB Marconi Radio Award going to KRMG comes as no surprise. Continue to make us proud.",
"2015-10-02 ","15:29:08","JimInhofe","Praying for our military and the family members of the servicemembers that lost their lives in the C-130J crash in Afghanistan.",
"2015-10-01 ","20:17:56","JimInhofe",".@EPA restricting ozone standard to 70ppb is another example of OAdm's enthusiasm for needless regulation https://t.co/N5jchc88ml @EPWMaj",
"2015-07-16 ","14:56:34","JimInhofe","It's ironic that the president will empower Iran to get to the export market w/ oil&amp;gas, but not allow the U.S. #BadDeal","BadDeal"
"2015-07-16 ","14:43:55","JimInhofe","Susan Rice tells CNN that US-Iran nuke deal will give Iran $$ to beef up its military &amp; potentially aid Assad in Syria. #BadDeal","BadDeal"
"2015-06-18 ","23:39:16","JimInhofe","Thanks Oklahomeruns for letting me guest coach your softball team tonight before I head back home to Tulsa http://t.co/3W4BccqfpW",
"2015-06-18 ","14:45:14","JimInhofe","Praying for the Charleston community &amp; #EmanuelAME http://t.co/wMK3IaQdEH","EmanuelAME"
"2015-06-11 ","18:24:54","JimInhofe",".@farmbureau analysis determines EPA’s final #WOTUS rule is worse for farmers than the original proposal. http://t.co/gFmTIroEQL","WOTUS"
"2015-06-11 ","15:19:57","JimInhofe","EPA science advisor Dr. Thomas Burke confirms science is never settled, even when it comes to climate. Watch here: https://t.co/Qjv9UCCWmO",
"2015-06-11 ","13:08:38","JimInhofe","Thanks @JimDeMint for the Political Leadership on Climate Change Award 2015. Cc: @Heritage http://t.co/XoVNaj5J6F",
